"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Gregor Blanco  CF","3","1","0","0","2","1","5",".265",".354",".345",".699","20","9","-0.033","0.40","0.016","-0.050","-0.6","2","0","CS"
"Mike Aviles  2B","5","1","3","1","0","0","5",".304",".335",".392",".727","18","13","0.042","0.31","0.057","-0.015","1.6","1","1","HR,2B"
"Billy Butler  DH","4","1","4","2","0","0","4",".317",".386",".471",".857","17","12","-0.007","0.49","0.040","-0.046","1.6","","","HR,2B"
"Wilson Betemit  3B","4","1","2","0","0","1","4",".321",".401",".556",".956","14","8","-0.005","0.67","0.041","-0.046","-0.0","0","2","2B"
"Kila Ka'aihue  1B","4","0","0","0","0","1","4",".194",".273",".310",".583","11","8","-0.070","0.78","0.000","-0.070","-1.2","6","2",""
"Brayan Pena  C","4","0","1","1","0","2","4",".268",".328",".366",".694","13","10","-0.046","0.58","0.011","-0.057","0.2","8","0","2B"
"Alex Gordon  LF","3","0","0","0","1","2","4",".233",".332",".383",".715","20","10","-0.036","0.37","0.002","-0.037","-0.5","5","0",""
"Yuniesky Betancourt  SS","4","0","0","0","0","2","4",".256",".280",".404",".684","13","8","-0.045","0.45","0.000","-0.045","-0.8","3","3",""
"Mitch Maier  RF","4","0","0","0","0","2","4",".257",".328",".376",".704","12","8","-0.029","0.29","0.000","-0.029","-0.7","0","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Kyle Davies  P","","","","","","","","","","","","","","","","","","","0","0",""
"Bryan Bullington  P","","","","","","","","","","","","","","","","","","","0","0",""
"Greg Holland  P","","","","","","","","","","","","","","","","","","","2","0",""
"Brian Bannister  P","","","","","","","","","","","","","","","","","","","0","0",""
