"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"R.A. Dickey, W (12-12)","7","6","1","1","0","4","0","3.84","28","112","79","48","8","23","9","14","5","0","65","","","0.211","1.13","1.8"
"Brett Cecil, H (21)","1","0","0","0","0","2","0","3.06","3","11","9","6","2","1","1","0","0","0","","1","0","0.192","2.20","1.1"
"Casey Janssen, S (22)","1","0","0","0","0","2","0","4.28","3","11","8","2","0","6","0","1","0","0","","0","0","0.087","1.16","0.5"
