"Model Year","Vehicle Manufacturer Name","Veh Mfr Code","Represented Test Veh Make","Represented Test Veh Model","Test Vehicle ID","Test Veh Configuration #","Test Veh Displacement (L)","Actual Tested Testgroup","Vehicle Type","Rated Horsepower","# of Cylinders and Rotors","Engine Code","Tested Transmission Type Code","Tested Transmission Type","# of Gears","Transmission Lockup?","Drive System Code","Drive System Description","Transmission Overdrive Code","Transmission Overdrive Desc","Equivalent Test Weight (lbs.)","Axle Ratio","N/V Ratio","Shift Indicator Light Use Cd","Shift Indicator Light Use Desc","Test Number","Test Originator","Analytically Derived FE?","ADFE Test Number","ADFE Total Road Load HP","ADFE Equiv. Test Weight (lbs.)","ADFE N/V Ratio","Test Procedure Cd","Test Procedure Description","Test Fuel Type Cd","Test Fuel Type Description","Test Category","THC (g/mi)","CO (g/mi)","CO2 (g/mi)","NOx (g/mi)","PM (g/mi)","CH4 (g/mi)","N2O (g/mi)","RND_ADJ_FE","FE_UNIT","FE Bag 1","FE Bag 2","FE Bag 3","FE Bag 4","DT-Inertia Work Ratio Rating","DT-Absolute Speed Change Ratg","DT-Energy Economy Rating","Target Coef A (lbf)","Target Coef B (lbf/mph)","Target Coef C (lbf/mph**2)","Set Coef A (lbf)","Set Coef B (lbf/mph)","Set Coef C (lbf/mph**2)","Aftertreatment Device Cd","Aftertreatment Device Desc","Police - Emergency Vehicle?","Averaging Group ID","Averaging Weighting Factor","Averaging Method Cd","Averging Method Desc"
2014,"Audi","ADX","AUDI","A3","83PA-AMF",3,1.984,"AADXV02.03PA","Car",200,4,"CBFA","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",3375,3.09,40.4,"1","Not eqipped","8ADX01079574","MFR","No","",,,,"3","HWFE","61","Tier 2 Cert Gasoline","HWY",0.0015,0.19,217,0.003,,0.0006,0.01,40.9,"MPG",,,,,,,,30,0.2,0.0186,14,0.02,0.0189,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BAF",0,1.984,"DADXV02.03UB","Car",211,4,"CAEB","SCV","Selectable Continuously Variable (e.g. CVT with paddles)",1,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",3875,4.61,23.3,"1","Not eqipped","DADX10020464","MFR","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline","FTP",0.0221,0.67,292,0.025,,0.0052,0.01,30.3,"MPG",28.7,30,32.2,,,,,36.644,0.24235,0.017344,-1.102,0.28735,0.015772,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BAF",0,1.984,"DADXV02.03UB","Car",211,4,"CAEB","SCV","Selectable Continuously Variable (e.g. CVT with paddles)",1,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",3875,4.61,23.3,"1","Not eqipped","DADX10020465","MFR","No","",,,,"3","HWFE","61","Tier 2 Cert Gasoline","HWY",0.0109,0.14,199,0.006,,0.0041,0.01,44.6,"MPG",,,,,,,,36.644,0.24235,0.017344,-1.102,0.28735,0.015772,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BAF",1,1.984,"DADXV02.03UB","Car",211,4,"CAEB","SCV","Selectable Continuously Variable (e.g. CVT with paddles)",1,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",4250,4.61,23.3,"1","Not eqipped","DADX10020466","MFR","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline","FTP",0.0236,0.6,309,0.031,,0.0055,0.01,28.7,"MPG",26.9,28.3,30.9,,,,,40.466,0.23512,0.018508,4.181,0.26044,0.017286,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BAF",1,1.984,"DADXV02.03UB","Car",211,4,"CAEB","SCV","Selectable Continuously Variable (e.g. CVT with paddles)",1,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",4250,4.61,23.3,"1","Not eqipped","DADX10020467","MFR","No","",,,,"3","HWFE","61","Tier 2 Cert Gasoline","HWY",0.0091,0.11,206,0.006,,0.0034,0.01,43.1,"MPG",,,,,,,,40.466,0.23512,0.018508,4.181,0.26044,0.017286,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BMQ",0,1.984,"DADXV02.03UB","Car",211,4,"CAEB","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",4000,3.69,31.2,"2","Equipped, not shifted by SIL","DADX10020117","MFR","No","",,,,"90","US06","61","Tier 2 Cert Gasoline","US06",0.0163,0.88,308,0.027,,0.0056,,28.7,"MPG",17.9,34.7,,,,,,36.194,0.32916,0.017635,3.934,-0.045,0.019497,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BMQ",0,1.984,"DADXV02.03UB","Car",211,4,"CAEB","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",4000,3.69,31.2,"2","Equipped, not shifted by SIL","DADX10020118","MFR","No","",,,,"95","SC03","61","Tier 2 Cert Gasoline","SC03",0.008,0.59,374,0.029,,0.004,,23.7,"MPG",,,,,,,,36.194,0.32916,0.017635,3.934,-0.045,0.019497,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BMQ",0,1.984,"DADXV02.03UB","Car",211,4,"CAEB","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",4000,3.69,31.2,"2","Equipped, not shifted by SIL","DADX10020119","MFR","No","",,,,"11","Cold CO","27","Cold CO Premium (Tier 2)","FTP",0.1293,2.19,365,0.026,,0.0146,,24.1,"MPG",21.8,23.3,28.1,,,,,39.814,0.36208,0.019398,4.328,0.01939,0.021447,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BMQ",0,1.984,"DADXV02.03UB","Car",211,4,"CAEB","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",4000,3.69,31.2,"2","Equipped, not shifted by SIL","DADX10020475","MFR","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline","FTP",0.0234,1.03,323,0.019,,0.0051,0.01,27.4,"MPG",26.2,26.5,30.4,,,,,36.194,0.32916,0.017635,3.934,-0.045,0.019497,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BMQ",0,1.984,"DADXV02.03UB","Car",211,4,"CAEB","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",4000,3.69,31.2,"2","Equipped, not shifted by SIL","DADX10020476","MFR","No","",,,,"3","HWFE","61","Tier 2 Cert Gasoline","HWY",0.0096,0.12,203,0.004,,0.004,0.01,43.7,"MPG",,,,,,,,36.194,0.32916,0.017635,3.934,-0.045,0.019497,"TWC","Three-way catalyst","N","",,"N","No averaging"
