"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"57","57","Tuesday, May 31","boxscore","CHW","@","BOS","W","10","7","","26-31","3","8.5","Humber","Aceves","Sale","2:51","N","37,269","++"
"58","58","Wednesday, Jun 1","boxscore","CHW","@","BOS","W","7","4","","27-31","3","8.5","Floyd","Albers","Santos","2:53","D","37,321","+++"
"59","59","Friday, Jun 3","boxscore","CHW","","DET","W","6","4","","28-31","3","7.0","Buehrle","Oliver","Santos","3:04","N","23,095","++++"
"60","60","Saturday, Jun 4","boxscore","CHW","","DET","L","2","4","","28-32","3","7.0","Verlander","Crain","Valverde","3:17","N","31,037","-"
"61","61","Sunday, Jun 5","boxscore","CHW","","DET","L","3","7","","28-33","3","7.0","Penny","Peavy","","3:25","D","25,149","--"
"62","62","Monday, Jun 6","boxscore","CHW","","SEA","W","3","1","","29-33","3","6.0","Danks","Pineda","Santos","2:23","N","23,847","+"
"63","63","Tuesday, Jun 7","boxscore","CHW","","SEA","W","5","1","","30-33","3","6.0","Humber","Hernandez","","2:25","N","21,337","++"
"64","64","Wednesday, Jun 8","boxscore","CHW","","SEA","L","4","7","10","30-34","3","6.0","Laffey","Santos","League","3:06","N","21,517","-"
"65","65","Thursday, Jun 9","boxscore","CHW","","OAK","W","9","4","","31-34","3","5.5","Buehrle","Cahill","","2:51","N","22,170","+"
"66","66","Friday, Jun 10","boxscore","CHW","","OAK","L","5","7","","31-35","3","5.5","Balfour","Santos","Bailey","3:10","N","20,166","-"
"67","67","Saturday, Jun 11","boxscore","CHW","","OAK","W","3","2","","32-35","3","4.5","Danks","Gonzalez","Crain","3:01","N","24,391","+"
"68","68","Sunday, Jun 12","boxscore","CHW","","OAK","W","5","4","","33-35","3","3.5","Humber","Moscoso","Santos","2:51","D","22,144","++"
"69","69","Wednesday, Jun 15","boxscore","CHW","@","MIN","L","1","4","","33-36","3","4.5","Pavano","Floyd","","2:06","N","37,437","-"
"70","70","Thursday, Jun 16","boxscore","CHW","@","MIN","L","0","1","","33-37","3","5.5","Blackburn","Buehrle","Capps","2:09","D","39,484","--"
"71","71","Friday, Jun 17","boxscore","CHW","@","ARI","L","1","4","","33-38","3","5.5","Hudson","Jackson","","2:37","N","26,053","---"
"72","72","Saturday, Jun 18","boxscore","CHW","@","ARI","W","6","2","","34-38","3","5.5","Danks","Duke","","2:41","N","33,230","+"
"73","73","Sunday, Jun 19","boxscore","CHW","@","ARI","W","8","2","","35-38","3","5.5","Humber","Collmenter","","2:38","D","39,538","++"
"74","74","Monday, Jun 20","boxscore","CHW","","CHC","L","3","6","","35-39","3","5.5","Zambrano","Floyd","Marmol","2:45","N","36,005","-"
"75","75","Tuesday, Jun 21","boxscore","CHW","","CHC","W","3","2","","36-39","3","4.5","Crain","Samardzija","Santos","2:31","N","35,155","+"
"76","76","Wednesday, Jun 22","boxscore","CHW","","CHC","W","4","3","","37-39","3","4.5","Peavy","Davis","Santos","3:01","N","35,403","++"
"77","77","Friday, Jun 24","boxscore","CHW","","WSN","L","5","9","14","37-40","3","4.5","Balester","Thornton","","4:58","N","23,856","-"
"78","78","Saturday, Jun 25","boxscore","CHW","","WSN","W","3","0","","38-40","3","3.5","Peavy","Gorzelanny","Santos","2:54","D","23,008","+"
"79","79","Sunday, Jun 26","boxscore","CHW","","WSN","L","1","2","","38-41","3","4.5","Hernandez","Humber","Storen","2:56","D","24,057","-"
