"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Miguel Gonzalez, L (3-4)","6.2","5","2","2","2","4","0","4.17","27","102","65","40","10","15","6","14","5","0","58","","","-0.061","1.40","0.9"
"Darren O'Day","1.1","0","0","0","0","1","0","0.82","3","11","9","4","2","3","1","1","0","0","","1","0","0.057","0.55","0.8"
