"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Matt Garza, L (14-8)","4.1","9","6","6","2","1","4","3.68","23","107","66","46","0","20","7","13","2","0","20","","","-0.330","1.08","-3.1"
"Chad Qualls","0.2","2","2","1","0","1","0","7.87","5","13","9","5","2","2","1","3","0","0","","1","1","-0.220","1.02","-1.9"
"Randy Choate","1","3","1","1","1","0","0","4.38","6","20","11","7","1","3","3","2","0","0","","1","1","-0.027","0.54","-0.5"
"Grant Balfour","0.1","3","2","2","1","0","1","2.58","5","19","10","7","0","3","2","2","1","0","","1","1","-0.038","0.17","-2.8"
"Lance Cormier","1.1","0","0","0","0","1","0","4.29","4","18","13","8","3","2","1","2","0","0","","2","0","0.003","0.03","1.4"
"Dan Wheeler","0.1","0","0","0","0","1","0","3.40","1","7","4","2","2","0","0","0","0","0","","0","0","0.000","0.00","0.1"
