"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Wade Davis","6","7","3","2","1","8","0","4.19","26","110","71","40","11","20","5","12","4","0","55","","","-0.096","0.88","-0.2"
"Grant Balfour","1","1","0","0","0","1","0","2.36","4","19","11","9","0","2","0","3","1","0","","0","0","0.085","1.41","0.5"
"Joaquin Benoit","1","0","0","0","1","2","0","1.46","4","16","10","3","4","3","0","1","0","0","","0","0","0.103","1.85","0.5"
"Dan Wheeler, L (2-4)","0","2","1","1","0","0","1","3.74","2","6","3","2","0","1","0","2","1","0","","0","0","-0.367","1.45","-1.4"
"Lance Cormier","0.1","0","0","0","0","0","0","4.19","1","2","1","1","0","0","0","1","0","0","","1","0","0.022","0.96","0.3"
"Randy Choate","0.2","0","0","0","0","0","0","4.54","1","3","1","1","0","0","1","0","0","0","","1","0","0.036","0.81","0.5"
