"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Dontrelle Willis","5.1","4","3","3","3","6","0","3.99","23","97","57","35","4","18","9","5","0","0","51","","","0.004","0.90","0.3"
"Joel Zumaya","1.2","2","0","0","0","2","0","1.10","6","25","18","13","3","2","4","0","0","0","","1","1","-0.052","1.35","0.2"
"Phil Coke","0.1","1","0","0","0","0","0","1.88","2","8","5","4","1","0","1","1","0","0","","0","0","-0.001","0.66","-0.0"
"Ryan Perry, L (1-2)","1","1","1","1","0","0","0","3.00","3","14","8","6","1","1","2","1","0","0","","1","0","-0.335","2.37","-0.3"
