"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Justin Verlander, L (5-3)","7.1","7","5","5","2","8","2","3.74","31","117","78","46","11","21","8","13","3","0","50","","","-0.288","1.08","-1.5"
"Joel Zumaya","0.2","0","0","0","0","0","0","2.03","2","6","4","4","0","0","0","2","0","0","","2","1","-0.018","0.67","0.1"
