"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Chris Tillman, W (2-3)","6","3","1","1","3","5","0","6.15","24","112","66","42","9","15","7","8","0","0","64","","","0.211","1.12","2.1"
"Jason Berken, H (3)","1","3","1","1","0","0","1","5.28","6","23","13","9","2","2","4","2","0","0","","0","0","-0.007","1.01","-0.5"
"Koji Uehara, H (3)","1","1","0","0","0","2","0","3.00","4","12","11","4","5","2","0","2","2","0","","0","0","0.076","1.05","0.5"
"Kevin Gregg, S (7)","1","0","0","0","0","2","0","2.57","3","13","9","3","1","5","0","1","1","0","","0","0","0.075","0.98","0.5"
