"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Masahiro Tanaka, W (7-1)","6.2","5","1","1","2","6","0","2.29","26","118","73","42","9","22","6","11","4","0","64","","","0.163","0.55","1.7"
"Adam Warren","1.1","1","0","0","0","1","0","1.55","5","22","13","9","2","2","2","2","2","0","","2","0","0.020","0.20","0.9"
"Matt Daley","1","1","0","0","0","0","0","3.38","4","12","9","8","0","1","0","4","2","0","","0","0","0.002","0.08","0.5"
