"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"David Price","5","9","2","2","1","4","0","3.43","23","90","58","37","4","17","9","9","7","0","44","","","0.072","1.35","0.7"
"Jamey Wright, H (5)","0.2","0","0","0","0","0","0","2.86","2","6","4","3","0","1","2","0","0","0","","1","1","0.020","1.80","-0.0"
"Jake McGee, H (27)","0.1","0","2","2","1","1","0","4.07","3","23","14","11","1","2","0","0","0","0","","0","0","-0.162","1.76","-0.9"
"Alex Torres, BS (1)","0.2","1","0","0","0","1","0","1.49","3","15","10","5","4","1","0","2","1","0","","2","2","-0.219","2.86","-0.9"
"Brandon Gomes","0.1","0","0","0","1","0","0","6.48","2","8","3","3","0","0","1","0","0","0","","1","0","0.043","1.79","0.3"
"Joel Peralta","1","0","0","0","0","0","0","3.38","3","16","10","7","0","3","1","2","0","0","","0","0","0.103","1.38","0.5"
"Fernando Rodney","2","0","0","0","1","0","0","3.39","7","25","15","10","2","3","5","1","0","0","","0","0","0.262","2.06","0.9"
"Jake Odorizzi","3.2","1","0","0","1","2","0","4.39","13","56","34","26","4","4","5","5","2","0","","0","0","0.493","2.25","1.8"
"Cesar Ramos","1.1","0","0","0","1","0","0","4.38","5","12","6","4","0","2","4","0","0","0","","0","0","0.163","1.77","0.6"
"Wesley Wright","0.2","0","0","0","0","0","0","3.78","2","9","5","5","0","0","2","0","0","0","","0","0","0.099","2.01","0.4"
"Jeremy Hellickson, W (12-9)","2.1","1","0","0","0","2","0","5.16","8","41","25","11","6","8","2","4","1","0","","0","0","0.294","1.98","1.0"
